Month,Day,Seconds of the Day,Log (Duration in seconds),Duration Flag (0 or 1),Average Time(sec),Second Moment (sec),Third Moment (sec),log (Total Energy),log (Early Energy/Late Energy),Total High Energy,Early High Energy,Late High Energy,log (Peak Energy Rate),Peak Energy Rate Time (sec),log (Peak Count Rate at Peak),Time of Peak Count Rate (sec),Number of Peaks in Signal,Signal Run Length,Signal Fractal Dimension,Slope of the Signal Cepstrum,Wavelet Transform (res 5) - 0 Crossings,Wavelet Transform (res 6) - 0 Crossings,Wavelet Transform (res 7) - 0 Crossings,Wavelet Transform (res 8) - 0 Crossings,Fractal Dimension of Smoothed Signal,Number of -3db Peaks (Smoothed Signal),Separation of Two Largest Peaks,Ratio of Two Largest Peaks
3,10,13069.2,1.34,1,10.63,33.68,95.1,-3.79,0.15,2.17,2.64,1.8,-4.34,6.27,2.82,6.13,5,341.48,1.89,-17296.9,43,21,12,7,2.05,10,2.63,1.36
3,11,79992.1,0.96,0,9.71,5.95,-2.8,-3.04,0.13,2.63,3.06,2.28,-3.37,11.53,3.8,11.52,6,2928.42,0.5,-89.04,43,21,6,6,1.83,17,5.63,1.21
3,18,59101.1,1.05,0,5.51,6.96,8.3,-3.63,0.19,4.87,4.05,6.02,-4.28,6.64,2.7,5.75,4,639.05,1.66,-37856.2,25,14,8,5,1.62,16,0.88,1.16
4,6,27753.8,0.86,0,5.37,2.38,1.9,-3.53,0.1,6.41,7.23,5.6,-3.99,4.58,3.04,4.71,4,447.92,1.28,-34620.4,21,7,5,2,1.56,14,2.24,1.41
5,14,63880.8,0.82,0,5.1,2.58,1.2,-3.88,0.21,2.26,2.4,2.11,-4.43,4.96,2.84,5.38,33,4182.15,1.78,-36606.8,15,7,6,2,0.95,3,0.03,1.19
5,17,72225.1,1.4,1,15.29,49.26,-24.9,-3.43,0.14,1.15,1.08,1.23,-4.53,13.77,2.74,8.19,24,1970.38,1.83,-17094.6,42,15,13,6,2.12,14,2.45,1.34
6,19,64221,1.23,0,7.15,19.93,61.6,-3.92,0.18,2.66,3,2.27,-4.69,3.08,2.51,3.04,20,1030.18,2.32,-30419.1,30,13,5,2,1.98,6,2.13,1.38
7,21,29925.7,1.39,0,14.05,65.02,-17.5,-3.78,0.15,1.73,2.09,1.45,-4.57,3.27,2.63,26.75,32,2060.3,2.07,-17039.3,35,15,11,5,2.1,9,16.55,1.36
8,10,56600.8,1.03,0,5.71,6.05,13.8,-3.74,0.15,4.54,5.35,3.72,-4.15,4.21,2.87,4.16,15,855.17,2.01,-17021.8,36,20,10,5,1.62,8,1.55,1.28
9,25,65507.4,1.28,0,12.42,23.85,-13.8,-3.52,0.16,2.07,2.1,2.04,-4.31,14.89,2.83,14.75,30,1880.13,2.01,-17567.7,32,16,9,6,2.18,16,9.47,1.27
10,24,79173.2,0.32,0,4.32,0.52,-0.5,-3.58,0.19,4.7,4.45,4.92,-3.49,4.56,3.38,3.01,4,2224.06,0.42,15353.8,5,4,1,0,1.57,25,4.77,1.22
11,13,82999.2,1.39,1,13.2,53.81,34,-3.76,0.14,1.05,1.1,1,-4.72,9.08,2.6,2.66,8,516.41,1.92,-17273.7,41,20,11,4,1.65,9,0.23,1.11
1,8,79588,1.1,0,8.31,9.73,1.4,-3.87,0.17,2.68,2.3,3.18,-4.58,8.14,2.6,9.6,8,512.88,2.24,-17340.6,40,22,11,3,0.87,28,0.24,1.32
2,15,34279.5,1.2,0,12.31,14.77,7.5,-2.85,0.11,2.83,3.06,2.6,-3.64,9.23,3.38,9.47,3,731.45,0.91,1163.27,37,19,9,1,2.05,15,0.91,1.22
2,18,85133.5,1.04,0,5.1,6.21,4,-3.95,0.16,2.49,3.18,1.96,-4.56,3.08,2.6,3.13,25,1544.42,2.33,-39528.2,29,16,11,2,1.81,24,0.9,1.34
2,23,30411.8,1.22,0,10.28,37.15,-29.6,-3.84,0.24,5.41,3.28,10.5,-4.54,18.08,2.6,3.5,7,513.44,2.02,-17333.3,37,18,12,4,1.67,3,0.48,1.02
2,28,8136.4,1.1,0,10.79,11.54,-24.2,-3.38,0.16,3.53,3.62,3.47,-4.02,14.59,3.17,14.48,14,2550.05,1.28,-14329.4,32,22,10,6,0.53,10,0.13,1.37
4,30,74601.5,1.19,0,11.32,17.93,10.2,-3.24,0.13,2.39,2.44,2.34,-4.07,12.56,3.14,12.52,14,2590.98,1.09,-14795,35,17,10,1,2.15,12,2.29,1.11
7,3,86286.6,1.23,0,12.12,16.63,11.9,-3.45,0.23,0.56,0.43,0.71,-4,12.9,3.2,12.87,5,1441.39,1.28,-14481.7,36,23,10,5,0.93,15,3.48,1.36
7,10,35698.2,-0.74,0,3.2,0.12,0,-4.71,0.03,6.23,3.17,2.38,-3.95,2.88,3.06,2.84,5,973.27,0.83,-13240.9,10,4,3,0,1.72,9,-0.06,1.28
7,13,66781.5,1.29,0,9.52,26.58,114.2,-3.5,0.09,3.03,4.24,2.04,-4.22,6.27,2.83,3.32,13,1792.95,2.12,-17292.6,42,20,9,5,1.2,6,15.15,1.35
8,28,21500.4,1.16,0,6.38,10.47,55.6,-3.44,0.14,2.48,2.88,1.96,-3.84,4.79,3.3,4.15,2,606.32,1.19,-10903.8,36,23,6,6,1.63,17,0.69,1.31
9,15,5725.2,1.16,0,7.49,8.81,16.1,-3.91,0.17,1.9,2.03,1.75,-4.53,6.83,2.86,9.88,9,768.46,1.85,-17318.8,41,25,9,5,1.76,57,15.12,1.3
8,8,15363.4,0.61,0,7.35,0.85,-0.3,-2.57,0.11,2.99,3.52,2.57,-2.85,6.53,4.15,7.77,13,1.82,0.17,9488.69,31,20,14,2,2.14,46,6.23,1.14
9,6,25325.6,1.15,0,10.33,16.25,-57.1,-3.83,0.27,1.35,1.21,1.43,-4.02,11.86,3.21,11.83,4,797.5,1.22,-16167.2,31,16,5,5,1.52,33,6.4,1.38
2,8,32379.9,0.87,0,6.02,21.89,180.9,-3.88,0.14,4.28,3.1,9.34,-3.96,3.01,3.41,2.92,3,768.04,0.96,147.66,36,17,10,6,1.71,8,-0.27,1.4
3,10,47568.1,1.37,0,12.11,55.25,108.3,-3.86,0.12,1.77,2.25,1.33,-4.55,3.46,2.56,3.5,5,347.96,2.02,-17363.9,34,15,9,5,1.95,16,0.22,1.21
8,14,69397.2,1.35,0,9.25,36.61,184.7,-3.86,0.09,3.45,4.76,2.29,-4.52,3.08,2.5,3.6,6,512.49,2.23,-17404.7,43,23,11,7,1.41,23,0.79,1.37
